id,name,artists,release_date,popularity,duration_ms,genres,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo
4UYeLi3GKnlDO0ofRHAJXr,Boy on a dolphin - Ti in' afto pou to lene agapi - What Is This Thing Called Love,"Yiorgos Psihoyios, Natassa Bofiliou",2013-04-15,21,168506,,0.43,0.356,5,-11.708,0,0.0305,0.52,0,0.124,0.406,116.415
0R0EwrgyC9S5sNvegyy1Bb,Sou Sfirizo,Gadjo Dilo,2013-08-07,29,270602,greek swing,0.557,0.381,9,-12.867,1,0.0749,0.488,0.000475,0.149,0.787,134.745
3zXkYy4OzdAVAL8wlRdE83,Pyxida,"Evridiki, George Theofanous, Penny Baltatzi",2017-10-27,22,208506,"cypriot pop, greek pop, laiko",0.698,0.721,8,-5.944,1,0.0867,0.581,0.000321,0.147,0.517,92.032
0VhGzDwfmZNayZp75nv1sF,Alla Mou Len Ta Matia Sou,Gadjo Dilo,2013-08-07,28,221779,greek swing,0.476,0.458,2,-11.793,1,0.138,0.604,0.0344,0.0855,0.656,117.345
6CnVa4mnkpe6w2vKJJvnjU,Voutame Gymnoi,Nikos Portokaloglou,2012,15,261013,"classic greek rock, entehno",0.424,0.482,6,-10.678,0,0.0799,0.209,0.0025,0.107,0.657,80.521
5yDKBJeLoBdRFcSClgSwiR,Otan Sou Horevo,Rena Morfi,2016-05-27,42,178280,"entehno, greek swing",0.593,0.323,2,-9.539,0,0.0397,0.825,6.01e-06,0.101,0.508,83.181
4Tsg8xyJCY6a69zYFfnewS,Ores Se Kryfokoitazo,Gadjo Dilo,2016-10-31,15,216190,greek swing,0.727,0.481,9,-7.337,1,0.0467,0.718,0.000164,0.197,0.861,114.158
66Hh3w0lWKP2YHLYLNSR5a,Tha Mou Valis Tin Kouloura,Les Au Revoir,2024-07-15,12,178372,greek swing,0.74,0.74,2,-6.525,0,0.0308,0.241,0,0.111,0.922,99.989
1SSACJ2nQTh5PqKEPpdLBI,Gia Hatiri Sou,Iro Saia,2016-10-24,0,174793,greek swing,0.585,0.7,0,-5.492,1,0.0374,0.793,0,0.106,0.892,153.962
6WGpSeXXAiuJVyVKqUx4bE,Hromata,Penny Baltatzi,2023-06-23,25,195050,greek swing,0.671,0.818,5,-5.842,0,0.0466,0.512,0.000144,0.289,0.854,110.187
4YzFrELw3lgBgx67jhlSKo,Ο Λογαριασμός,JazzMaTazz,2014-05-01,7,259724,,0.808,0.859,9,-4.108,0,0.0579,0.547,0,0.116,0.836,111.985
1UCDEO7GlshdJdGR049yCG,Den Me Stefanoneis,Gadjo Dilo,2016-10-31,20,200720,greek swing,0.728,0.444,4,-8.266,0,0.0653,0.748,0.000468,0.0529,0.71,114.097
4T1s6liTWsDGQFSeGKi4ox,Pes Tin Alithia,Rena Morfi,2020-02-28,33,178156,"entehno, greek swing",0.687,0.653,0,-6.47,0,0.175,0.602,1.65e-05,0.385,0.905,177.94
78vCTEkNn27vYueznm9EXb,Pios Giorgos (Ce Georges),"Martha Frintzila, Lavrentis Machairitsas",2014-12-21,28,207284,greek indie,0.783,0.469,4,-7.183,0,0.341,0.223,0,0.226,0.699,102.557
1MXE0AW6T0QicCSzmz8qAb,Pou Girizis,Imam Baildi,2014-01-01,26,239966,greek indie,0.742,0.805,5,-7.076,0,0.0422,0.133,7.4e-06,0.0593,0.379,100.976
1JqjnXKV6vtrXxc1Bk5epz,Το Πες,Kulamacus,2019-04-12,3,220438,greek swing,0.67,0.659,0,-6.659,0,0.0395,0.292,6.82e-06,0.075,0.692,103.99
28WPfSRSM9qDK3AZIW3GIc,As Pan Stin Efchi Ta Palia,Nto Diesi,2022-06-01,9,209999,,0.588,0.539,11,-10.377,0,0.11,0.397,1.27e-05,0.214,0.581,171.952
3dX4573R1mPMXfb9dscyhZ,Afto To Agori Me Ta Matia Ta Melia,Evelina Megalokonomou,2022-09-16,0,154626,,0.494,0.326,7,-11.205,1,0.0295,0.585,1.18e-05,0.148,0.569,144.651
3w6N3QZwaI2lkYDoltzuij,Ena Mikro Hrisopsaro,Panos Mouzourakis,2017-05-22,11,219120,"entehno, greek swing",0.56,0.595,9,-8.826,0,0.0384,0.745,2.27e-06,0.171,0.648,135.992
1MjklbTutaQ6vSc5epfkFm,Gia Ton Mation Sou To Chroma,Eleftheria Arvanitaki,2001,25,234826,"entehno, laiko",0.755,0.503,0,-8.841,0,0.0395,0.805,7.15e-05,0.108,0.617,87.928
0CYIDr2uLvIf0DGT8LMTLo,Koda Sta Ximeromata,"Estoudiantina Neas Ionias, Aspasia Stratigou",2023-10-27,17,239878,,0.598,0.415,7,-11.635,0,0.0468,0.598,6.73e-05,0.0897,0.729,122.68
0KQhJ1fnZFzeBfPCsAMWBO,San Magemeno to Myalo Mou / Blue Drag,Gadjo Dilo,2016-10-31,28,319517,greek swing,0.656,0.33,4,-8.6,0,0.0855,0.607,0.000153,0.134,0.413,76.72
5xMntGSoMGx6GyZ6c9GoCz,Skies Sto Peristylio,Alkistis Protopsalti,2003,12,169133,entehno,0.684,0.791,2,-7.555,1,0.0368,0.383,1.63e-06,0.132,0.817,86.99
2iSv46pRe5DsO6PSnaS8RP,Trava Re Magka,Eleni Tsaligopoulou,2018,12,244456,entehno,0.595,0.628,11,-8.818,0,0.0331,0.00754,1.72e-05,0.17,0.336,98.577
44yOUk4aI4FfARgYBFDHtS,Kokkina Gialia,"Marianna Papathanasiou & the Dizzy Breezes, Spiros Kolaitis",2020-01-17,15,213901,,0.691,0.622,7,-9.829,1,0.0639,0.529,0,0.126,0.872,159.975
6KQqcJk0PqeM0LzcZJMc6e,To Limani,Kulamacus,2018-01-15,4,183049,greek swing,0.698,0.74,7,-6.081,1,0.0835,0.192,0,0.206,0.6,103.97
0fGY8HiVjM1JUBILmBZ2Xt,Xypna Agapi Mou,"Dimitris Kalantzis, Athina Routsi",2016-05-30,0,193593,greek swing,0.572,0.652,9,-7.955,0,0.046,0.704,0.000208,0.0795,0.693,147.424
4UHWlWf521VfQ4dEvh5Rwn,Stin Troumpa Stin Kastela,Penny Baltatzi,2019-11-15,27,187774,greek swing,0.622,0.452,5,-9.284,0,0.346,0.416,0.00157,0.0538,0.674,132.118
0P0zYVPEUDdZDBPJ439mMc,Pefteis Se Lathi,Gadjo Dilo,2016-06-13,0,228179,greek swing,0.644,0.507,9,-13.262,1,0.0641,0.691,0.00155,0.102,0.961,124.549
7fvHsvKYUJYKAf0KfLeVXI,In Colors,Minor Project,2016-02-26,22,252693,"greek indie, greek swing",0.51,0.465,9,-9.258,0,0.0313,0.437,0.000137,0.11,0.239,143.803
3orFpmD7iG1MDMelMe9jO1,Take My Breath Away,The Burger Project,2009-12-11,20,298066,"greek indie, greek swing",0.403,0.764,0,-6.894,1,0.114,0.481,0.00849,0.0917,0.944,201.434
2iaj2PTTi7JoLdnEHLbE2D,Batida De Coco,Arleta,2009-09-28,27,265533,"classic greek pop, classic greek rock, entehno, neo kyma",0.816,0.571,4,-10.118,0,0.0369,0.409,0.00242,0.0655,0.968,139.942
6Dyou1j0GgOvBf2PaCwTsw,Ke Ti Zitao,"Lavrentis Machairitsas, Dionysis Savvopoulos",1999-05-27,41,249773,"classic greek rock, entehno",0.696,0.545,9,-9.93,0,0.028,0.534,0,0.094,0.486,104.49
2QroLjaTmTunuQ5TPnQRxE,Kalokerines Diakopes Gia Panta,Nikos Karvelas,1984-03-14,29,209026,"classic greek pop, laiko",0.623,0.727,2,-9.428,1,0.034,0.438,0,0.558,0.713,157.426
0zDtgYOfoFICen5uSeEj8g,No Milk Today,Vassilikos,2011-03-25,16,240240,greek indie,0.618,0.635,9,-12.633,1,0.0407,0.00662,0.004,0.913,0.789,129.987
4PFrbnUOgb2cRxI7HEhsGx,Ταξίδι Για Να Σε Βρω,Λεωνίδας Μπαλάφας,2009-03-04,35,264558,,0.652,0.629,6,-5.886,0,0.0282,0.298,0.000211,0.138,0.75,96.083
2OP8wtRjHMBqU0jScLWS9E,Perasmenes Mou Agapes,Bouzouki Kings,2015-04-21,4,225360,"bouzouki, greek folk",0.387,0.683,7,-10.423,0,0.0338,0.06,0.906,0.293,0.865,194.115
6Ck6jsM2RqiRkGaaQSmHYp,Agalia,Monsieur Minimal,2017-09-18,26,287575,"greek downtempo, greek indie, greek indie rock, greek swing",0.63,0.836,4,-8.642,0,0.0374,0.112,0.00524,0.0511,0.55,116.008
5V97c5rOCnJ3DTmVpowH8l,Ine Mikri I Zoi,Mariza Rizou,2015-05-25,0,204745,,0.736,0.782,11,-8.609,0,0.0847,0.0814,2.54e-06,0.201,0.954,136.925
4nlbgD74ykWW6Mc0FdV4en,In' Entaksi Mazi Mou,Eleni Tsaligopoulou,2005-12-22,34,233826,entehno,0.86,0.63,5,-4.957,0,0.0327,0.211,0,0.12,0.91,125.96
4HDkMoujyriUWV7Ego9fdZ,To Mpatiraki,Ekmek,2011-04-06,20,212746,greek indie,0.391,0.73,2,-5.602,0,0.177,0.0439,3.33e-06,0.269,0.707,169.057
4QueN3EYYnvSwRAsZVKfbI,Pes Mou Mia Lexi - Live,Maraveyas,2013-01-01,0,186573,"entehno, greek swing",0.326,0.526,10,-7.81,1,0.0421,0.918,0.000122,0.957,0.407,94.505
0nZnXlpQzy3IjpRMyAolOw,Η Βαλίτσα,Eleonora Zouganeli,2015-05-25,0,130106,"entehno, laiko",0.503,0.76,2,-3.829,1,0.125,0.188,0,0.071,0.835,204.63
0AClljMLUmuXrNSHYBA1Ol,Kookoobadi,Marietta Fafouti,2012-05-28,0,227460,"greek indie, greek swing",0.725,0.716,4,-5.101,0,0.0279,0.3,0.00274,0.0978,0.727,127.996
57rmsIZTYZ6XU2KNvFpXio,Κοκτέιλ,Nalyssa Green,2016-05-31,35,200093,greek indie,0.71,0.673,4,-6.113,0,0.0287,0.173,0.703,0.0992,0.589,123.014
5a9o34Tca1lkcViXtMXkSJ,To Minore Tis Avgis - Remix,Imam Baildi,2009-01-01,8,270851,greek indie,0.708,0.954,10,-3.932,0,0.0561,0.0118,0.438,0.118,0.785,114.999
175J7BLW0cF5i9tNOSFxYY,Amado Mio,Rena Morfi,2018-04-23,28,231041,"entehno, greek swing",0.696,0.54,10,-5.645,0,0.0302,0.652,0,0.0992,0.331,121.95
5L5S8FbCTNfsl3tsaLHBvk,Pera vrechi,The Speakeasies' Swing Band!,2015-03-20,27,199346,"greek swing, modern swing, swing, swing revival",0.734,0.707,8,-6.892,1,0.0746,0.739,0,0.187,0.816,110.101
3XyLH3bZQhEQN0LQNoUlLy,Tha Anevo Na Se Vro,"Rena Morfi, Markos Koumaris",2020-02-28,34,185465,"entehno, greek swing",0.807,0.597,11,-7.168,0,0.0319,0.106,0.00133,0.0632,0.868,96.092
5nNbHxjFXf0mrzoepiXt03,Another One Bites The Dust,The Burger Project,2009-12-11,6,204426,"greek indie, greek swing",0.514,0.881,4,-6.287,0,0.0784,0.422,0.0887,0.125,0.672,129.228
4w0YYd05WmX8LZwb9Fnpmg,Amore Mio,Maraveyas,2015-03-02,28,205505,"entehno, greek swing",0.768,0.645,0,-4.924,1,0.0333,0.481,0.00189,0.0582,0.96,134.12
